"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UPM00033663","1959-01-01","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,"   11",",,S","   27","H,,S"
"UPM00033663","1959-01-02","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"   19","H,,S"
"UPM00033663","1959-01-03","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,"   11",",,S","   34","H,,S"
"UPM00033663","1959-01-04","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"   73","H,,S"
"UPM00033663","1959-01-05","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"   10","H,,S"
"UPM00033663","1959-01-06","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -27","H,,S"
"UPM00033663","1959-01-07","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -10","H,,S"
"UPM00033663","1959-01-09","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"   53","H,,S"
"UPM00033663","1959-01-11","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,"    0",",,S",,,"  -17","H,,S"
"UPM00033663","1959-01-13","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -38","H,,S"
"UPM00033663","1959-01-14","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -67","H,,S"
"UPM00033663","1959-01-15","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,," -122",",,S","  -48","H,,S"
"UPM00033663","1959-01-16","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -54","H,,S"
"UPM00033663","1959-01-17","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -66","H,,S"
"UPM00033663","1959-01-18","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,," -100",",,S","  -77","H,,S"
"UPM00033663","1959-01-19","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -47","H,,S"
"UPM00033663","1959-01-22","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,"  -78",",,S","  -26","H,,S"
"UPM00033663","1959-01-25","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -11","H,,S"
"UPM00033663","1959-01-26","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -24","H,,S"
"UPM00033663","1959-01-27","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -65","H,,S"
"UPM00033663","1959-01-28","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,," -139",",,S","  -88","H,,S"
"UPM00033663","1959-01-29","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,,,,,"  -28","H,,S"
"UPM00033663","1959-01-30","48.45","27.783","78.0","MOHYLIV PODILSKYI, UP",,,,,"    0",",,S",,,"   -7","H,,S"
